wo_number,equipment_id,equipment_type,wo_type,status,created_date,scheduled_date,completed_date,assigned_technician,downtime_hours,labor_hours,part_number,priority,description
WO-25484,HS-012,HVAC System,Corrective,In Progress,2025-11-03,2025-11-06,,Emily Davis,19.7,,CYL-734,Medium,Main drive bearing failure - emergency repair
WO-24558,M-059,Mixer,Preventive,Completed,2025-11-02,2025-11-05,2025-11-05,David Kim,0.0,3.2,,Medium,Routine maintenance and inspection
WO-24592,AC-014,Air Compressor,Corrective,Completed,2025-11-02,2025-11-04,2025-11-04,David Kim,0.0,5.0,COM-535,High,Replace mechanical seal - excessive leaking
WO-25795,C-090,Crane,Preventive,Completed,2025-11-02,2025-11-05,2025-11-06,James Wilson,0.0,4.6,,Medium,Monthly calibration check
WO-24911,B-043,Blower,Preventive,Completed,2025-11-02,2025-11-07,2025-11-10,Maria Garcia,0.0,3.7,COI-967,Medium,Quarterly PM - filters and oil change
WO-24604,ST-018,Storage Tank,Scheduled Inspection,Completed,2025-11-02,2025-11-05,2025-11-07,David Kim,0.0,2.6,,Medium,Replace mechanical seal - excessive leaking
WO-25461,CT-089,Cooling Tower,Corrective,Completed,2025-11-02,2025-11-03,2025-11-05,Maria Garcia,15.6,23.1,,Medium,Multiple seal failures - contamination issue
WO-24212,M-059,Mixer,Corrective,Completed,2025-11-02,2025-11-07,2025-11-09,James Wilson,13.6,18.9,PUM-360,Medium,Multiple seal failures - contamination issue
WO-24124,CT-082,Cooling Tower,Corrective,In Progress,2025-11-02,2025-11-07,,John Martinez,0.0,,HOS-900,Low,Motor overheating - thermal relay replaced
WO-24178,CP-054,Centrifugal Pump,Corrective,Scheduled,2025-11-02,2025-11-04,,Robert Johnson,17.4,,MOT-766,Critical,Bearing seizure - replacement required
WO-24783,C-053,Chiller,Scheduled Inspection,Completed,2025-11-02,2025-11-04,2025-11-04,John Martinez,0.0,2.3,,Medium,Unloader valve failure - compressor cycling
WO-25049,CP-087,Centrifugal Pump,Corrective,Completed,2025-11-01,2025-11-05,2025-11-06,Emily Davis,12.8,18.7,,Medium,Seal leaking - parts ordered
WO-25700,M-030,Mixer,Preventive,Completed,2025-11-01,2025-11-04,2025-11-05,Maria Garcia,0.0,2.6,,Medium,Quarterly maintenance cycle
WO-24723,HP-100,Hydraulic Pump,Preventive,Completed,2025-11-01,2025-11-03,2025-11-03,Lisa Anderson,0.0,3.2,,Medium,Monthly calibration check
WO-25481,HP-009,Hydraulic Press,Preventive,Completed,2025-11-01,2025-11-06,2025-11-08,Emily Davis,0.0,2.6,FAN-471,Medium,Annual inspection and coating check
WO-25397,HP-007,Hydraulic Pump,Preventive,Open,2025-11-01,2025-11-05,,John Martinez,0.0,,CYL-558,Medium,Weekly lubrication and inspection
WO-24878,EM-068,Electric Motor,Preventive,Completed,2025-11-01,2025-11-06,2025-11-06,Jennifer Lee,0.0,4.3,,Low,Annual inspection and coating check
WO-25300,CB-067,Conveyor Belt,Preventive,Completed,2025-11-01,2025-11-06,2025-11-09,Emily Davis,0.0,1.4,,Low,Monthly calibration check
WO-24929,HP-100,Hydraulic Pump,Preventive,Completed,2025-10-31,2025-11-01,2025-11-02,John Martinez,0.0,1.8,BEA-365,Medium,Weekly lubrication and inspection
WO-25199,HP-007,Hydraulic Pump,Preventive,Scheduled,2025-10-31,2025-11-01,,James Wilson,0.0,,,High,Weekly lubrication and inspection
WO-24933,ST-033,Storage Tank,Corrective,Completed,2025-10-31,2025-11-01,2025-11-03,Mike Thompson,0.0,3.7,ENC-155,Low,Multiple seal failures - contamination issue
WO-24760,CT-031,Cooling Tower,Corrective,Completed,2025-10-31,2025-11-01,2025-11-03,Mike Thompson,0.0,3.9,,High,Belt tracking issue - alignment needed
WO-24435,EM-078,Electric Motor,Corrective,Open,2025-10-31,2025-11-05,,David Kim,1.8,,,Low,Belt tracking issue - alignment needed
WO-24122,HS-058,HVAC System,Corrective,Completed,2025-10-31,2025-11-03,2025-11-04,Lisa Anderson,0.0,2.5,HOS-838,High,Pressure relief valve replacement
WO-25585,RA-060,Robotic Arm,Preventive,Completed,2025-10-30,2025-10-31,2025-11-03,Maria Garcia,0.0,3.7,,Medium,Monthly filter replacement
WO-25262,B-055,Boiler,Corrective,Completed,2025-10-30,2025-11-04,2025-11-05,James Wilson,16.5,26.2,FIL-381,Low,Belt tracking issue - alignment needed
WO-24313,M-041,Mixer,Emergency,Completed,2025-10-30,2025-11-03,2025-11-05,David Kim,15.1,22.1,,Medium,Belt tracking issue - alignment needed
WO-24744,EM-078,Electric Motor,Emergency,Completed,2025-10-30,2025-11-03,2025-11-04,Jennifer Lee,0.0,1.8,,Medium,Multiple seal failures - contamination issue
WO-25575,HS-002,HVAC System,Corrective,Completed,2025-10-30,2025-11-03,2025-11-03,Emily Davis,15.3,24.0,,Low,Belt tracking issue - alignment needed
WO-25463,B-098,Blower,Preventive,Open,2025-10-30,2025-11-02,,Jennifer Lee,0.0,,,Medium,Quarterly maintenance cycle
WO-25745,F-040,Forklift,Corrective,Completed,2025-10-30,2025-11-01,2025-11-03,Lisa Anderson,0.0,1.1,CYL-734,High,Unloader valve failure - compressor cycling
WO-24469,B-098,Blower,Scheduled Inspection,In Progress,2025-10-30,2025-11-02,,Jennifer Lee,0.0,,,Critical,Replace mechanical seal - excessive leaking
WO-25301,EM-063,Electric Motor,Preventive,Completed,2025-10-29,2025-10-30,2025-11-01,James Wilson,0.0,1.2,FAN-114,Low,Monthly filter replacement
WO-24622,F-048,Forklift,Preventive,Completed,2025-10-29,2025-11-01,2025-11-04,Lisa Anderson,0.0,2.4,,Medium,Routine maintenance and inspection
WO-25029,C-053,Chiller,Corrective,Completed,2025-10-29,2025-10-31,2025-11-03,Jennifer Lee,12.1,19.5,SER-453,Critical,Pressure relief valve replacement
WO-24236,ST-018,Storage Tank,Preventive,In Progress,2025-10-29,2025-11-03,,Robert Johnson,0.0,,,Low,Quarterly maintenance cycle
WO-25204,F-039,Forklift,Scheduled Inspection,Completed,2025-10-29,2025-11-02,2025-11-04,Sarah Chen,0.0,2.9,,Low,Pressure relief valve replacement
WO-24392,C-065,Chiller,Corrective,Completed,2025-10-29,2025-10-30,2025-11-01,David Kim,0.0,2.7,,Low,Replace mechanical seal - excessive leaking
WO-24306,EM-078,Electric Motor,Scheduled Inspection,Completed,2025-10-29,2025-10-31,2025-11-03,James Wilson,0.0,3.0,,Low,Bearing seizure - replacement required
WO-24713,F-039,Forklift,Preventive,Completed,2025-10-28,2025-10-30,2025-11-02,Emily Davis,0.0,3.3,,Critical,Monthly calibration check
WO-25170,M-003,Mixer,Preventive,Completed,2025-10-28,2025-10-29,2025-10-30,Lisa Anderson,0.0,2.0,,Medium,Quarterly PM - filters and oil change
WO-25133,RA-072,Robotic Arm,Preventive,Completed,2025-10-28,2025-10-29,2025-11-01,Jennifer Lee,0.0,2.6,VAL-993,High,Annual inspection and coating check
WO-24787,CP-054,Centrifugal Pump,Preventive,Completed,2025-10-28,2025-11-01,2025-11-04,Sarah Chen,0.0,4.8,,Medium,Quarterly PM - filters and oil change
WO-25250,B-055,Boiler,Corrective,Completed,2025-10-28,2025-10-30,2025-10-31,Mike Thompson,0.0,3.6,,High,Hydraulic cylinder failure - production down
WO-24326,RA-032,Robotic Arm,Preventive,Completed,2025-10-28,2025-11-01,2025-11-01,James Wilson,0.0,2.0,,Low,Monthly filter replacement
WO-25655,CB-079,Conveyor Belt,Preventive,Completed,2025-10-28,2025-10-30,2025-10-30,Emily Davis,0.0,3.3,MOT-312,Medium,Monthly calibration check
WO-24031,CP-087,Centrifugal Pump,Preventive,Completed,2025-10-28,2025-11-01,2025-11-04,Robert Johnson,0.0,2.0,,Low,Monthly calibration check
WO-24369,CP-011,Centrifugal Pump,Scheduled Inspection,Completed,2025-10-28,2025-10-29,2025-10-29,Jennifer Lee,0.0,4.6,,Medium,Bearing seizure - replacement required
WO-24158,EM-068,Electric Motor,Corrective,Scheduled,2025-10-28,2025-11-02,,Sarah Chen,11.3,,BEL-203,Medium,Bearing seizure - replacement required
WO-24279,EM-078,Electric Motor,Corrective,Completed,2025-10-28,2025-10-29,2025-10-31,Lisa Anderson,6.1,9.3,,High,Belt tracking issue - alignment needed
WO-25632,RA-050,Robotic Arm,Preventive,Scheduled,2025-10-28,2025-10-30,,Emily Davis,0.0,,,Medium,Monthly filter replacement
WO-24743,B-064,Boiler,Preventive,Completed,2025-10-27,2025-11-01,2025-11-04,Jennifer Lee,0.0,2.4,,Low,Monthly calibration check
WO-24655,CP-042,Centrifugal Pump,Preventive,Completed,2025-10-27,2025-11-01,2025-11-04,James Wilson,0.0,3.8,MOT-899,Low,Quarterly PM - filters and oil change
WO-24335,ST-018,Storage Tank,Preventive,Completed,2025-10-27,2025-10-28,2025-10-28,Robert Johnson,0.0,1.7,PUM-564,Low,Routine maintenance and inspection
WO-24143,CP-054,Centrifugal Pump,Scheduled Inspection,Completed,2025-10-27,2025-10-30,2025-10-30,Lisa Anderson,0.0,4.6,,Medium,Hydraulic cylinder failure - production down
WO-24268,CB-017,Conveyor Belt,Scheduled Inspection,Completed,2025-10-27,2025-10-28,2025-10-28,John Martinez,0.0,3.0,,Medium,Multiple seal failures - contamination issue
WO-25502,M-061,Mixer,Corrective,Completed,2025-10-27,2025-10-29,2025-10-30,Mike Thompson,0.0,1.8,VAL-175,Medium,Replace mechanical seal - excessive leaking
WO-24646,CT-031,Cooling Tower,Preventive,Completed,2025-10-27,2025-10-29,2025-10-30,Mike Thompson,0.0,2.5,SER-151,Low,Weekly lubrication and inspection
WO-25561,CT-005,Cooling Tower,Corrective,Open,2025-10-27,2025-10-31,,Emily Davis,12.8,,PUM-157,Medium,Motor overheating - thermal relay replaced
WO-24919,C-080,Chiller,Corrective,Scheduled,2025-10-26,2025-10-31,,Mike Thompson,0.0,,,High,Hydraulic cylinder failure - production down
WO-24069,HS-024,HVAC System,Corrective,Cancelled,2025-10-26,2025-10-31,,Lisa Anderson,16.8,,PUM-564,Critical,Pressure relief valve replacement
WO-24081,HP-100,Hydraulic Pump,Corrective,Completed,2025-10-26,2025-10-28,2025-10-30,David Kim,0.0,4.0,,Medium,Hydraulic cylinder failure - production down
WO-25012,F-048,Forklift,Corrective,Completed,2025-10-26,2025-10-30,2025-10-31,Robert Johnson,9.5,14.5,,Low,Motor overheating - thermal relay replaced
WO-25711,CP-008,Centrifugal Pump,Corrective,Open,2025-10-26,2025-10-29,,Lisa Anderson,2.7,,,Critical,Seal leaking - parts ordered
WO-24574,G-020,Gearbox,Scheduled Inspection,Completed,2025-10-26,2025-10-27,2025-10-29,Mike Thompson,0.0,4.9,,Medium,Replace mechanical seal - excessive leaking
WO-24553,RA-074,Robotic Arm,Preventive,Completed,2025-10-26,2025-10-29,2025-10-31,James Wilson,0.0,2.1,,Medium,Routine maintenance and inspection
WO-25189,CP-015,Centrifugal Pump,Preventive,Completed,2025-10-26,2025-10-30,2025-10-30,Mike Thompson,0.0,2.7,HOS-244,Low,Routine maintenance and inspection
WO-25281,B-070,Boiler,Corrective,In Progress,2025-10-26,2025-10-28,,James Wilson,7.3,,,Low,Replace mechanical seal - excessive leaking
WO-24137,B-028,Boiler,Preventive,In Progress,2025-10-25,2025-10-27,,James Wilson,0.0,,,Medium,Weekly lubrication and inspection
WO-24569,C-052,Crane,Corrective,Completed,2025-10-25,2025-10-30,2025-11-01,James Wilson,1.5,6.7,COM-908,High,Multiple seal failures - contamination issue
WO-25417,G-020,Gearbox,Corrective,Completed,2025-10-25,2025-10-30,2025-11-02,Mike Thompson,0.0,1.0,CYL-440,Medium,Main drive bearing failure - emergency repair
WO-24190,B-069,Boiler,Preventive,Completed,2025-10-25,2025-10-28,2025-10-30,Lisa Anderson,0.0,3.6,,Medium,Annual inspection and coating check
WO-25175,C-037,Chiller,Corrective,Completed,2025-10-25,2025-10-30,2025-10-30,Emily Davis,11.1,18.9,,Critical,Multiple seal failures - contamination issue
WO-24524,C-090,Crane,Preventive,In Progress,2025-10-25,2025-10-26,,John Martinez,0.0,,,High,Quarterly PM - filters and oil change
WO-24595,F-040,Forklift,Scheduled Inspection,Completed,2025-10-25,2025-10-30,2025-10-30,Mike Thompson,0.0,4.4,,Medium,Pressure relief valve replacement
WO-25493,EM-056,Electric Motor,Scheduled Inspection,Completed,2025-10-25,2025-10-26,2025-10-27,Lisa Anderson,0.0,3.3,,Low,Hydraulic cylinder failure - production down
WO-25337,HS-022,HVAC System,Scheduled Inspection,Completed,2025-10-25,2025-10-27,2025-10-27,Maria Garcia,0.0,1.3,,Medium,Main drive bearing failure - emergency repair
WO-25017,G-020,Gearbox,Corrective,Completed,2025-10-25,2025-10-28,2025-10-29,James Wilson,0.0,1.3,,Medium,Replace mechanical seal - excessive leaking
WO-24006,B-098,Blower,Emergency,Completed,2025-10-25,2025-10-26,2025-10-26,Jennifer Lee,0.0,4.9,,Medium,Pressure relief valve replacement
WO-24061,RA-050,Robotic Arm,Corrective,Completed,2025-10-25,2025-10-28,2025-10-30,James Wilson,4.9,10.2,ENC-468,Medium,Motor overheating - thermal relay replaced
WO-25373,B-038,Boiler,Scheduled Inspection,Scheduled,2025-10-25,2025-10-28,,James Wilson,0.0,,,Medium,Motor overheating - thermal relay replaced
WO-25268,CT-031,Cooling Tower,Preventive,Completed,2025-10-25,2025-10-29,2025-11-01,Robert Johnson,0.0,1.5,BEA-646,Medium,Annual inspection and coating check
WO-25621,F-040,Forklift,Corrective,Open,2025-10-25,2025-10-27,,John Martinez,5.8,,PUM-317,High,Bearing seizure - replacement required
WO-25781,F-040,Forklift,Preventive,Completed,2025-10-25,2025-10-27,2025-10-27,Lisa Anderson,0.0,3.9,,Medium,Weekly lubrication and inspection
WO-24980,HP-085,Hydraulic Pump,Corrective,Completed,2025-10-24,2025-10-27,2025-10-29,James Wilson,11.6,16.6,,Low,Multiple seal failures - contamination issue
WO-25241,HS-022,HVAC System,Corrective,Completed,2025-10-24,2025-10-28,2025-10-30,Jennifer Lee,19.4,26.4,IMP-407,High,Belt tracking issue - alignment needed
WO-24299,RA-094,Robotic Arm,Corrective,In Progress,2025-10-24,2025-10-26,,Emily Davis,5.1,,IMP-256,Critical,Hydraulic cylinder failure - production down
WO-24160,HP-009,Hydraulic Press,Corrective,Completed,2025-10-24,2025-10-28,2025-10-29,David Kim,0.0,3.2,,Low,Bearing seizure - replacement required
WO-25389,AC-036,Air Compressor,Corrective,Completed,2025-10-24,2025-10-26,2025-10-29,James Wilson,0.0,3.7,,Low,Pressure relief valve replacement
WO-25646,CP-042,Centrifugal Pump,Corrective,In Progress,2025-10-24,2025-10-27,,Robert Johnson,19.6,,,Medium,Replace mechanical seal - excessive leaking
WO-24280,B-043,Blower,Emergency,Completed,2025-10-24,2025-10-27,2025-10-30,James Wilson,15.9,22.6,,Low,Multiple seal failures - contamination issue
WO-25107,G-092,Gearbox,Preventive,Open,2025-10-24,2025-10-29,,John Martinez,0.0,,FIL-105,Medium,Monthly calibration check
WO-25411,HS-071,HVAC System,Corrective,Completed,2025-10-24,2025-10-25,2025-10-26,David Kim,15.7,24.1,MOT-284,Medium,Main drive bearing failure - emergency repair
WO-25101,AC-096,Air Compressor,Emergency,Completed,2025-10-24,2025-10-28,2025-10-29,Emily Davis,0.0,4.9,,Medium,Pressure relief valve replacement
WO-24660,C-099,Chiller,Preventive,Scheduled,2025-10-23,2025-10-25,,Mike Thompson,0.0,,BEA-917,High,Monthly calibration check
WO-25478,G-092,Gearbox,Preventive,Cancelled,2025-10-23,2025-10-24,,Lisa Anderson,0.0,,,Low,Monthly calibration check
WO-25439,HP-085,Hydraulic Pump,Preventive,Completed,2025-10-23,2025-10-27,2025-10-30,John Martinez,0.0,3.1,SER-977,Medium,Weekly lubrication and inspection
WO-25124,CB-091,Conveyor Belt,Preventive,Completed,2025-10-23,2025-10-28,2025-10-28,Mike Thompson,0.0,3.1,,Medium,Annual inspection and coating check
WO-25540,F-051,Forklift,Preventive,Cancelled,2025-10-23,2025-10-26,,Robert Johnson,0.0,,,Medium,Weekly lubrication and inspection
WO-24509,CT-026,Cooling Tower,Emergency,In Progress,2025-10-23,2025-10-26,,Sarah Chen,14.5,,,Critical,Motor overheating - thermal relay replaced
WO-24127,M-041,Mixer,Preventive,Open,2025-10-23,2025-10-24,,John Martinez,0.0,,,Critical,Quarterly maintenance cycle
WO-24935,HP-010,Hydraulic Pump,Scheduled Inspection,Completed,2025-10-23,2025-10-25,2025-10-28,John Martinez,0.0,4.4,,Medium,Belt tracking issue - alignment needed
WO-24139,C-080,Chiller,Corrective,Completed,2025-10-23,2025-10-28,2025-10-30,Mike Thompson,0.0,4.1,BEL-569,High,Hydraulic cylinder failure - production down
WO-25065,CP-086,Centrifugal Pump,Preventive,Scheduled,2025-10-23,2025-10-25,,Mike Thompson,0.0,,,High,Annual inspection and coating check
WO-24201,M-003,Mixer,Corrective,Completed,2025-10-22,2025-10-27,2025-10-30,James Wilson,0.0,1.1,VAL-160,Critical,Main drive bearing failure - emergency repair
WO-24530,EM-063,Electric Motor,Preventive,Open,2025-10-22,2025-10-24,,Mike Thompson,0.0,,,High,Monthly calibration check
WO-25208,F-034,Forklift,Emergency,Completed,2025-10-22,2025-10-24,2025-10-27,David Kim,0.0,4.3,,Low,Unloader valve failure - compressor cycling
WO-24181,CP-008,Centrifugal Pump,Scheduled Inspection,Completed,2025-10-22,2025-10-23,2025-10-25,Mike Thompson,0.0,2.4,,Low,Motor overheating - thermal relay replaced
WO-24593,M-030,Mixer,Preventive,In Progress,2025-10-22,2025-10-24,,Lisa Anderson,0.0,,,High,Quarterly PM - filters and oil change
WO-24248,EM-078,Electric Motor,Corrective,Completed,2025-10-22,2025-10-23,2025-10-25,Robert Johnson,0.0,1.6,SER-543,High,Bearing seizure - replacement required
WO-25195,RA-050,Robotic Arm,Corrective,Completed,2025-10-22,2025-10-23,2025-10-23,Mike Thompson,13.9,19.8,FIL-402,Critical,Main drive bearing failure - emergency repair
WO-25532,AC-036,Air Compressor,Preventive,Open,2025-10-22,2025-10-23,,Sarah Chen,0.0,,,High,Quarterly maintenance cycle
WO-25515,RA-093,Robotic Arm,Corrective,Completed,2025-10-22,2025-10-26,2025-10-26,Jennifer Lee,0.0,2.0,IMP-171,Critical,Multiple seal failures - contamination issue
WO-24486,HP-029,Hydraulic Press,Preventive,Completed,2025-10-22,2025-10-24,2025-10-27,Maria Garcia,0.0,4.1,,Low,Annual inspection and coating check
WO-24052,C-027,Chiller,Preventive,Completed,2025-10-22,2025-10-24,2025-10-26,Sarah Chen,0.0,2.9,SER-325,Low,Annual inspection and coating check
WO-24841,EM-056,Electric Motor,Corrective,Completed,2025-10-22,2025-10-26,2025-10-29,James Wilson,15.2,23.6,BEL-238,Medium,Pressure relief valve replacement
WO-25046,RA-032,Robotic Arm,Preventive,In Progress,2025-10-22,2025-10-23,,David Kim,0.0,,BEA-389,Low,Routine maintenance and inspection
WO-25244,B-045,Blower,Corrective,Completed,2025-10-21,2025-10-26,2025-10-29,David Kim,0.0,1.0,THE-790,Medium,Unloader valve failure - compressor cycling
WO-25436,CT-005,Cooling Tower,Corrective,Cancelled,2025-10-21,2025-10-26,,Maria Garcia,14.9,,FIL-381,High,Hydraulic cylinder failure - production down
WO-25318,HP-029,Hydraulic Press,Preventive,In Progress,2025-10-21,2025-10-22,,David Kim,0.0,,COM-792,Medium,Weekly lubrication and inspection
WO-24834,C-099,Chiller,Preventive,Completed,2025-10-21,2025-10-22,2025-10-22,Emily Davis,0.0,2.6,,Critical,Monthly filter replacement
WO-24145,B-044,Boiler,Preventive,Completed,2025-10-21,2025-10-26,2025-10-28,Sarah Chen,0.0,3.5,,Medium,Routine maintenance and inspection
WO-25415,HS-012,HVAC System,Corrective,Completed,2025-10-21,2025-10-22,2025-10-24,John Martinez,14.7,21.5,HOS-905,High,Pressure relief valve replacement
WO-25533,AC-001,Air Compressor,Preventive,Completed,2025-10-21,2025-10-24,2025-10-24,Lisa Anderson,0.0,3.6,BEA-349,Critical,Quarterly maintenance cycle
WO-25038,CT-013,Cooling Tower,Corrective,Completed,2025-10-21,2025-10-25,2025-10-26,Maria Garcia,7.7,13.6,COM-686,High,Unloader valve failure - compressor cycling
WO-25282,B-025,Boiler,Corrective,Completed,2025-10-21,2025-10-25,2025-10-26,Jennifer Lee,15.9,23.5,BEL-413,Medium,Hydraulic cylinder failure - production down
WO-24931,RA-050,Robotic Arm,Corrective,In Progress,2025-10-21,2025-10-23,,Lisa Anderson,1.5,,FIL-459,Medium,Main drive bearing failure - emergency repair
WO-24065,CP-057,Centrifugal Pump,Emergency,Completed,2025-10-21,2025-10-25,2025-10-28,Mike Thompson,15.5,24.3,,High,Seal leaking - parts ordered
WO-24075,HP-010,Hydraulic Pump,Preventive,Completed,2025-10-21,2025-10-23,2025-10-26,Maria Garcia,0.0,3.5,,Medium,Quarterly PM - filters and oil change
WO-24793,M-061,Mixer,Preventive,Completed,2025-10-21,2025-10-25,2025-10-27,Mike Thompson,0.0,4.7,,Medium,Quarterly PM - filters and oil change
WO-25143,HP-007,Hydraulic Pump,Preventive,Completed,2025-10-21,2025-10-23,2025-10-23,Sarah Chen,0.0,1.5,,Medium,Routine maintenance and inspection
WO-25378,HS-021,HVAC System,Preventive,Completed,2025-10-21,2025-10-22,2025-10-25,David Kim,0.0,3.8,,Medium,Quarterly maintenance cycle
WO-25666,CB-067,Conveyor Belt,Preventive,Cancelled,2025-10-20,2025-10-22,,John Martinez,0.0,,,Medium,Monthly calibration check
WO-24693,B-025,Boiler,Preventive,Open,2025-10-20,2025-10-21,,Jennifer Lee,0.0,,,Low,Monthly filter replacement
WO-24542,HP-085,Hydraulic Pump,Preventive,Completed,2025-10-20,2025-10-25,2025-10-26,Jennifer Lee,0.0,2.6,,Medium,Quarterly PM - filters and oil change
WO-24774,EM-078,Electric Motor,Preventive,Completed,2025-10-20,2025-10-25,2025-10-28,James Wilson,0.0,2.9,BEL-406,Medium,Annual inspection and coating check
